date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,37.29823699,-113.026442,42.1,207.1,181.5,8.5,2.6,0.2,2.4
1980-02-15T15:43:35Z,37.29823699,-113.026442,42.2,183.8,146.8,0,9,0.4,8.4
1980-03-17T02:12:39Z,37.29823699,-113.026442,42.6,76.6,44.6,1.9,4.4,0.1,4.2
1980-04-16T12:41:43Z,37.29823699,-113.026442,30.3,2.5,18.8,0.1,52.2,14.2,38.3
1980-05-16T23:10:47Z,37.29823699,-113.026442,24.6,0,38.6,0,71.6,23.7,47.9
1980-06-16T09:39:51Z,37.29823699,-113.026442,6.3,0,3.2,0,111.6,93.2,18.7
1980-07-16T20:08:54Z,37.29823699,-113.026442,3.4,0,33.6,0,130.7,97.7,32.8
1980-08-16T06:37:58Z,37.29823699,-113.026442,3.9,0,34.2,0,112,84.6,27.4
1980-09-15T17:07:02Z,37.29823699,-113.026442,23.4,7.8,61.2,0,77.4,29.7,47.5
1980-10-16T03:36:06Z,37.29823699,-113.026442,22.2,0,30.8,0,41.7,22.1,19.4
1980-11-15T14:05:10Z,37.29823699,-113.026442,27.5,0,9.2,0,20.8,6.9,13.8
1980-12-16T00:34:14Z,37.29823699,-113.026442,30.5,0,8.3,0,16.4,4.6,11.8
1981-01-16T05:14:31Z,37.29823699,-113.026442,22.8,0,4.1,17.4,12.7,5.8,6.6
1981-02-15T15:43:35Z,37.29823699,-113.026442,37.8,13.3,18.1,0.9,15.6,1.4,14.1
1981-03-18T02:12:39Z,37.29823699,-113.026442,42.6,115.5,87.6,0,10.4,0.4,10.1
1981-04-17T12:41:43Z,37.29823699,-113.026442,34,10.6,37.8,0,64.1,15,48.9
1981-05-17T23:10:47Z,37.29823699,-113.026442,20.9,0,61.4,0,83.8,30.8,52.9
1981-06-17T09:39:51Z,37.29823699,-113.026442,10.3,0,7.8,0,124.1,88.2,35.7
1981-07-17T20:08:54Z,37.29823699,-113.026442,8.2,0,51,0,136,88.5,48
1981-08-17T06:37:58Z,37.29823699,-113.026442,16.5,0,61.1,0,116.3,59.5,56.9
1981-09-16T17:07:02Z,37.29823699,-113.026442,10.8,0,31.5,0,79.8,44.5,35.2
1981-10-17T03:36:06Z,37.29823699,-113.026442,20.5,0,38.1,0,36.8,13.2,23.5
1981-11-16T14:05:10Z,37.29823699,-113.026442,22.6,0,14.9,12.7,20.9,7.7,12.9
1981-12-17T00:34:14Z,37.29823699,-113.026442,32.4,0,7.7,0,12.7,2.6,10.3
1982-01-16T05:14:31Z,37.29823699,-113.026442,42.4,79.4,13.8,16.5,1,0,1
1982-02-15T15:43:35Z,37.29823699,-113.026442,40.9,45.9,1.1,0,13.1,1.6,11.7
1982-03-18T02:12:39Z,37.29823699,-113.026442,42.3,117.5,89.6,0,11.7,0.1,11.5
1982-04-17T12:41:43Z,37.29823699,-113.026442,31.5,7.1,9.9,0,47.7,14.7,32.7
1982-05-17T23:10:47Z,37.29823699,-113.026442,11.8,0,16.9,0,83.1,53.7,29.3
1982-06-17T09:39:51Z,37.29823699,-113.026442,1.8,0,6.7,0,107.2,96.5,11.1
1982-07-17T20:08:54Z,37.29823699,-113.026442,0.3,0,30.8,0,127.3,97.7,29.2
1982-08-17T06:37:58Z,37.29823699,-113.026442,13.8,0,79.1,0,114.4,50.1,64.4
1982-09-16T17:07:02Z,37.29823699,-113.026442,15.2,0,63.1,0,73.9,33.4,40.6
1982-10-17T03:36:06Z,37.29823699,-113.026442,27.4,0,18.6,1.1,34.6,11.6,23.3
1982-11-16T14:05:10Z,37.29823699,-113.026442,40.8,64.1,61,11.7,8.5,1,7.4
