date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31.916Z,44.847443,-109.304468,77.1,0,1.9,13.9,0.4,0,0.4
1980-02-15T15:43:35.747Z,44.847443,-109.304468,98.6,16.9,3.9,0.3,3,0,3
1980-03-17T02:12:39.578Z,44.847443,-109.304468,101.3,47.7,18.5,18.5,2.8,0,2.8
1980-04-16T12:41:43.409Z,44.847443,-109.304468,92.5,25.1,15.9,0,40.9,4.8,36
1980-05-16T23:10:47.241Z,44.847443,-109.304468,91.5,4.5,89.8,0,65.9,3.3,62.3
1980-06-16T09:39:51.072Z,44.847443,-109.304468,87.2,0,41.9,0,84.7,9.9,75.2
1980-07-16T20:08:54.903Z,44.847443,-109.304468,51.1,0,29.2,0,99.7,38,61.9
1980-08-16T06:37:58.734Z,44.847443,-109.304468,29.9,0,31.2,0,74.8,36.2,38.2
1980-09-15T17:07:02.565Z,44.847443,-109.304468,42.8,0,55.1,0,50.8,17,33.8
1980-10-16T03:36:06.397Z,44.847443,-109.304468,56.9,0,19.8,0,23.4,10.5,13
1980-11-15T14:05:10.228Z,44.847443,-109.304468,73.2,0,15.3,5.1,8,1.6,6.4
1980-12-16T00:34:14.059Z,44.847443,-109.304468,86.7,0,1,0,5,0.4,4.4
1981-01-16T05:14:31.916Z,44.847443,-109.304468,83.4,0,0.5,9.4,6.2,0.6,5.1
1981-02-15T15:43:35.747Z,44.847443,-109.304468,91.6,3.5,3,0,6.8,0,6.7
1981-03-18T02:12:39.578Z,44.847443,-109.304468,96.7,12.5,21,0,16,0.5,15.3
1981-04-17T12:41:43.409Z,44.847443,-109.304468,96.3,5.1,26.7,0,37.6,1.8,36.1
1981-05-17T23:10:47.241Z,44.847443,-109.304468,98.4,78.3,138.9,0,56.2,0.6,55.6
1981-06-17T09:39:51.072Z,44.847443,-109.304468,85.5,0,41.6,0,79.8,9.1,70.9
1981-07-17T20:08:54.903Z,44.847443,-109.304468,47.7,0,25.1,0,97.3,42.4,54.9
1981-08-17T06:37:58.734Z,44.847443,-109.304468,27.5,0,12.7,0,85.6,56.1,29.7
1981-09-16T17:07:02.565Z,44.847443,-109.304468,16.6,0,10.2,0,55,41.5,13.7
1981-10-17T03:36:06.397Z,44.847443,-109.304468,26.2,0,22.3,0,19.5,8.9,10.9
1981-11-16T14:05:10.228Z,44.847443,-109.304468,37.4,0,7.6,2.4,10.4,6.7,3.8
1981-12-17T00:34:14.059Z,44.847443,-109.304468,49.5,0,4.8,6.9,2.4,0.9,1.5
1982-01-16T05:14:31.916Z,44.847443,-109.304468,59.2,0,0,18.2,0,0,0
1982-02-15T15:43:35.747Z,44.847443,-109.304468,85.8,0,5.8,0,6.7,0.1,6.5
1982-03-18T02:12:39.578Z,44.847443,-109.304468,101,39.7,10.5,0,4.5,0,4.5
1982-04-17T12:41:43.409Z,44.847443,-109.304468,99.5,33.3,16.8,0,23.2,0.7,22.4
1982-05-17T23:10:47.241Z,44.847443,-109.304468,85.8,0,50.7,0,53.9,5.6,48.3
1982-06-17T09:39:51.072Z,44.847443,-109.304468,94.8,30.5,85.8,0,76.6,4.2,72.2
1982-07-17T20:08:54.903Z,44.847443,-109.304468,65.1,0,43.7,0,93.7,25.6,68.2
1982-08-17T06:37:58.734Z,44.847443,-109.304468,39.7,0,27.6,0,86.9,39.9,47.1
1982-09-16T17:07:02.565Z,44.847443,-109.304468,53.2,0,59.5,0.3,41.6,19.9,21.9
1982-10-17T03:36:06.397Z,44.847443,-109.304468,84.1,0,23.3,0,21.7,2.4,19.2
1982-11-16T14:05:10.228Z,44.847443,-109.304468,99.8,5.3,5.6,2.6,2.6,0,2.6
1982-12-17T00:34:14.059Z,44.847443,-109.304468,101.8,18.6,4.2,7.8,1.1,0,1.1
1983-01-16T05:14:31.916Z,44.847443,-109.304468,100.4,15.8,8,0,5.4,0,5.2
