date,lat,lon,deficit_monthly_45,aet_monthly_45,deficit_monthly_85,aet_monthly_85,model
2025-01-16T05:14:31Z,44.702,-110.018,0,0,0,0,inmcm4
2025-02-15T15:43:35Z,44.702,-110.018,0,0,0,0,inmcm4
2025-03-18T02:12:39Z,44.702,-110.018,0,0,0,0,inmcm4
2025-04-17T12:41:43Z,44.702,-110.018,0,0,0,3.7,inmcm4
2025-05-17T23:10:47Z,44.702,-110.018,0.9,31.7,0,31.4,inmcm4
2025-06-17T09:39:51Z,44.702,-110.018,5.3,55.1,1.4,45.5,inmcm4
2025-07-17T20:08:54Z,44.702,-110.018,38.4,49.3,17,75.1,inmcm4
2025-08-17T06:37:58Z,44.702,-110.018,26.5,45.8,24.8,47.8,inmcm4
2025-09-16T17:07:02Z,44.702,-110.018,7.8,35.5,19.9,24.5,inmcm4
2025-10-17T03:36:06Z,44.702,-110.018,1.2,7.7,3,7.1,inmcm4
2025-11-16T14:05:10Z,44.702,-110.018,0,0,0,0,inmcm4
2025-12-17T00:34:14Z,44.702,-110.018,0,0,0,0,inmcm4
2026-01-16T05:14:31Z,44.702,-110.018,0,0,0,0,inmcm4
2026-02-15T15:43:35Z,44.702,-110.018,0,0,0,0,inmcm4
2026-03-18T02:12:39Z,44.702,-110.018,0,0,0,0,inmcm4
2026-04-17T12:41:43Z,44.702,-110.018,0,0,0,0,inmcm4
2026-05-17T23:10:47Z,44.702,-110.018,0,15,0.2,20,inmcm4
2026-06-17T09:39:51Z,44.702,-110.018,3,64.1,2.4,61.9,inmcm4
2026-07-17T20:08:54Z,44.702,-110.018,23.1,64.9,4.2,78.1,inmcm4
2026-08-17T06:37:58Z,44.702,-110.018,39,37.9,6.5,66.8,inmcm4
2026-09-16T17:07:02Z,44.702,-110.018,17.8,26.2,10,28.9,inmcm4
2026-10-17T03:36:06Z,44.702,-110.018,1.6,10.1,0.6,15.5,inmcm4
2026-11-16T14:05:10Z,44.702,-110.018,0,0.2,0,0,inmcm4
2026-12-17T00:34:14Z,44.702,-110.018,0,0,0,0,inmcm4
2027-01-16T05:14:31Z,44.702,-110.018,0,0,0,0,inmcm4
2027-02-15T15:43:35Z,44.702,-110.018,0,0,0,0,inmcm4
2027-03-18T02:12:39Z,44.702,-110.018,0,0,0,0,inmcm4
2027-04-17T12:41:43Z,44.702,-110.018,0,0,0,1.7,inmcm4
2027-05-17T23:10:47Z,44.702,-110.018,0.1,22.2,0.6,46.7,inmcm4
2027-06-17T09:39:51Z,44.702,-110.018,1.5,62.1,4.8,64.7,inmcm4
2027-07-17T20:08:54Z,44.702,-110.018,16.1,71.9,34,59.7,inmcm4
2027-08-17T06:37:58Z,44.702,-110.018,28,50.5,41.2,41.7,inmcm4
