date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,1885,0,0,0,414,0,0,0,1900,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,15,9,0,2418,0,0,0,414,0,0,0,2194,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,166,51,0,2691,0,0,0,451,0,60,0,2623,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,885,2937,295,0,0,96,0,96,808,1395,368,0,1592,0,0,0
2020-05-16T23:10:47.241Z,44.702,-110.018,866,834,1127,18,12,446,9,438,862,2283,939,174,0,368,13,353
2020-06-16T09:39:51.072Z,44.702,-110.018,839,650,913,456,0,629,38,592,801,982,1201,514,0,630,61,569
2020-07-16T20:08:54.903Z,44.702,-110.018,395,0,65,2676,0,1064,559,509,400,0,178,1858,0,926,416,511
2020-08-16T06:37:58.734Z,44.702,-110.018,189,0,517,4456,0,874,496,373,212,0,338,3397,0,834,477,353
2020-09-15T17:07:02.565Z,44.702,-110.018,435,0,503,0,0,522,154,369,187,0,36,26,0,501,365,138
2020-10-16T03:36:06.397Z,44.702,-110.018,680,120,251,18,19,46,7,40,345,0,218,93,203,56,20,36
2020-11-15T14:05:10.228Z,44.702,-110.018,886,157,85,18,807,29,0,28,667,0,158,93,1166,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,18,1266,0,0,0,702,0,0,93,1770,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,18,1869,0,0,0,702,0,0,93,2537,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,18,2254,0,0,0,702,0,0,93,3167,0,0,0
