date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,890,29,25,0,1741,0,0,0,470,0,39,73,1514,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,12,0,0,2345,0,0,0,573,0,35,73,1800,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,275,37,0,2663,0,0,0,687,323,121,73,1774,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,889,3049,175,0,0,45,0,45,889,2344,87,73,0,38,0,38
2020-05-16T23:10:47.241Z,44.702,-110.018,813,482,477,196,0,513,58,454,868,623,718,103,3,325,6,319
2020-06-16T09:39:51.072Z,44.702,-110.018,401,0,161,1583,0,927,420,508,840,291,845,641,0,780,31,751
2020-07-16T20:08:54.903Z,44.702,-110.018,158,0,193,4166,0,1114,757,359,461,0,276,2260,0,968,337,627
2020-08-16T06:37:58.734Z,44.702,-110.018,62,0,203,6114,0,896,677,217,226,0,135,3875,0,853,525,324
2020-09-15T17:07:02.565Z,44.702,-110.018,69,0,133,0,1,492,355,137,250,0,267,4,0,427,251,178
2020-10-16T03:36:06.397Z,44.702,-110.018,118,0,64,0,21,144,102,41,575,255,347,9,0,57,18,39
2020-11-15T14:05:10.228Z,44.702,-110.018,175,0,6,0,949,0,0,0,888,32,0,9,630,5,0,5
2020-12-16T00:34:14.059Z,44.702,-110.018,188,0,20,0,1795,0,0,0,890,14,14,9,1335,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,198,0,0,0,2945,0,0,0,890,22,22,9,2121,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,198,0,2,0,3498,0,0,0,890,0,0,9,2842,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,841,1138,368,0,2382,0,0,0,890,747,184,9,2759,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,884,2990,603,14,6,116,1,114,889,3307,443,54,0,101,0,101
2021-05-17T23:10:47.241Z,44.702,-110.018,872,737,880,113,0,392,8,382,880,633,908,54,0,347,3,344
2021-06-17T09:39:51.072Z,44.702,-110.018,751,0,301,302,0,511,51,459,869,277,912,204,0,638,6,630
2021-07-17T20:08:54.903Z,44.702,-110.018,473,0,485,1960,0,981,257,726,722,135,534,1348,0,881,129,753
2021-08-17T06:37:58.734Z,44.702,-110.018,393,0,519,2823,0,745,215,533,365,0,176,2670,0,814,369,446
2021-09-16T17:07:02.565Z,44.702,-110.018,607,0,868,3109,0,464,56,407,242,0,198,3030,0,401,220,180
2021-10-17T03:36:06.397Z,44.702,-110.018,877,370,470,109,0,190,1,189,585,0,267,0,35,118,29,93
2021-11-16T14:05:10.228Z,44.702,-110.018,889,214,189,109,1163,0,0,0,858,0,0,0,770,0,0,0
2021-12-17T00:34:14.059Z,44.702,-110.018,890,0,0,109,1544,0,0,0,858,0,0,0,1887,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,109,2112,0,0,0,874,200,71,0,2588,0,0,0
