date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,654,0,21,11,1074,0,0,0,890,157,32,78,1852,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,693,0,2,11,1911,0,0,0,890,0,0,78,2364,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,759,0,58,11,2206,0,0,0,890,1480,117,78,1193,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,880,2357,154,20,0,110,6,105,889,1989,356,78,26,32,0,32
2020-05-16T23:10:47.241Z,44.702,-110.018,854,671,1083,299,0,528,17,509,883,828,821,103,17,318,2,316
2020-06-16T09:39:51.072Z,44.702,-110.018,654,0,298,1506,0,850,176,680,810,268,514,590,0,656,60,594
2020-07-16T20:08:54.903Z,44.702,-110.018,439,0,573,2536,0,872,214,659,653,1,576,1453,0,841,199,640
2020-08-16T06:37:58.734Z,44.702,-110.018,288,0,326,4040,0,835,385,451,545,0,711,2319,0,743,146,597
2020-09-15T17:07:02.565Z,44.702,-110.018,279,0,295,0,0,454,201,254,720,28,691,0,0,457,35,420
2020-10-16T03:36:06.397Z,44.702,-110.018,381,0,327,4,7,139,53,84,876,114,280,46,0,228,1,223
2020-11-15T14:05:10.228Z,44.702,-110.018,755,84,89,4,294,14,1,12,888,291,207,46,130,36,0,36
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,4,1045,0,0,0,890,0,0,46,1033,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,4,1887,0,0,0,890,158,17,46,1379,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,4,2001,0,0,0,890,27,12,46,2017,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,2201,63,4,0,15,0,15,890,1911,186,46,438,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,871,646,537,102,2,273,7,265,872,774,333,63,0,255,3,251
2021-05-17T23:10:47.241Z,44.702,-110.018,794,744,1063,185,0,449,34,412,814,103,557,540,0,685,40,645
2021-06-17T09:39:51.072Z,44.702,-110.018,784,279,566,752,0,688,76,608,822,532,1247,734,0,715,32,684
2021-07-17T20:08:54.903Z,44.702,-110.018,745,267,986,1594,0,843,95,748,469,0,291,2658,0,1021,373,650
2021-08-17T06:37:58.734Z,44.702,-110.018,432,0,611,3382,0,879,264,615,346,0,519,4153,0,838,320,516
2021-09-16T17:07:02.565Z,44.702,-110.018,429,0,229,4096,0,547,218,332,390,0,366,4752,0,517,168,348
2021-10-17T03:36:06.397Z,44.702,-110.018,722,0,563,66,256,180,42,136,555,0,391,1,3,144,36,108
2021-11-16T14:05:10.228Z,44.702,-110.018,883,477,143,66,443,0,0,0,889,490,219,1,420,0,0,0
