date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31.916Z,44.702,-110.018,70.1,0,0,211.7,0,0,0,50,0,0,225.3,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,75.8,0,6.5,315.3,0,0,0,50,0,0,270,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,83.3,65.2,14.4,280.2,0,0,0,59.3,0,15.4,285.4,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,89,16.4,1.1,382.4,0,0,0,88.6,316.4,30,0,6.2,0.1,6.1
2020-05-16T23:10:47.241Z,44.702,-110.018,88.6,466.1,73.1,0,15.3,0.1,15.2,85.6,14.1,49.6,0,35.3,0.7,34.6
2020-06-16T09:39:51.072Z,44.702,-110.018,82.3,64.6,90.4,0,65.9,5.3,60.2,76.1,0.9,50.1,0,77.4,5.2,72.2
2020-07-16T20:08:54.903Z,44.702,-110.018,43.2,0,33,0,100,37.2,63.2,47.5,0,33.1,0,83.2,27.8,55.5
2020-08-16T06:37:58.734Z,44.702,-110.018,26.1,0,23.7,0,81.8,43.8,37.7,47,0,46.1,0,77.7,23.3,54.8
2020-09-15T17:07:02.565Z,44.702,-110.018,32.1,0,70.8,0,42.3,13.7,28.8,27.8,0,5.2,0,46.8,28.4,18.3
2020-10-16T03:36:06.397Z,44.702,-110.018,73.1,9.4,49.3,0.7,21.1,2.5,18.3,25.1,0,17.2,28.6,13,9,3.6
2020-11-15T14:05:10.228Z,44.702,-110.018,89,33.6,21.4,77,0,0,0,87.6,14,13.9,86.6,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,89,0,0,157.2,0,0,0,89,0.9,0.9,172.3,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,234.3,0,0,0,89,0,0,206.6,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,89,0.7,0.7,296.9,0,0,0,89,0,0,254.2,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,89,27.7,7,332.9,0,0,0,89,19,0.9,268.2,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,89,348.1,69.8,119,0,0,0,89,129.6,32,191.7,0,0,0
2021-05-17T23:10:47.241Z,44.702,-110.018,86.2,164.6,60.8,0.1,44.2,1.1,42.8,87,227.5,57.8,0,34.1,1,33
2021-06-17T09:39:51.072Z,44.702,-110.018,79.5,29.4,50.6,0,62.9,3.6,59,82.7,16.2,71.4,0,71.4,3.3,67.8
2021-07-17T20:08:54.903Z,44.702,-110.018,76.5,2.8,78.3,0,91.8,7.3,84.8,54.7,0,43.2,0,86.7,20.4,66
2021-08-17T06:37:58.734Z,44.702,-110.018,46,0,28.4,0,83.5,25.4,58.3,32,0,19.4,0,78.1,37.7,40.4
2021-09-16T17:07:02.565Z,44.702,-110.018,63.7,0,57.7,0,35.4,4.6,30.8,39.4,0,66.8,0,44.7,22.6,22
2021-10-17T03:36:06.397Z,44.702,-110.018,58.5,0,2.5,55.4,18.2,5.3,12.6,84.6,20.7,40,68.2,10,0.8,9.3
2021-11-16T14:05:10.228Z,44.702,-110.018,57.1,0,0,86.2,0,0,0,89,0,0,176.8,0,0,0
2021-12-17T00:34:14.059Z,44.702,-110.018,57.1,0,0,189.2,0,0,0,89,0,0,240.5,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,57.3,0,0.4,241.9,0,0,0,89,0,0,337.7,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,57.6,0,0,333.4,0,0,0,89,0,0,371.9,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,76.8,61.3,9.7,305.1,0,0,0,89,3.7,0.1,426.4,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,89,188.1,22.6,190.4,0,0,0,89,288.3,59.5,230.6,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,84.8,212.6,52.6,0,51.4,2.4,49.3,88.6,287.5,62.5,0,15.2,0,15.1
2022-06-17T09:39:51.072Z,44.702,-110.018,82.9,4.7,89.7,0,73.4,2.4,71,83.6,47.9,90.1,0,62.6,2.3,60.3
2022-07-17T20:08:54.903Z,44.702,-110.018,58.5,0,33.2,0,96.5,22.5,73.5,51.9,0,26.1,0,82.5,24.9,57.5
2022-08-17T06:37:58.734Z,44.702,-110.018,53.2,0,60.4,0,76.9,16.7,60,30.9,0,16.3,0,75.6,38.9,37
2022-09-16T17:07:02.565Z,44.702,-110.018,59.5,0,65.1,0,49,7,41.6,19.4,0,13,0,39.8,22.8,16.8
2022-10-17T03:36:06.397Z,44.702,-110.018,76.4,23.1,34.9,3.4,15.6,1.9,13.8,52.1,0,33.9,5.7,4.2,0.9,3.2
2022-11-16T14:05:10.228Z,44.702,-110.018,88.8,9.5,3.7,54,0.5,0,0.5,79.3,0,3.8,0.7,2.1,0,2
2022-12-17T00:34:14.059Z,44.702,-110.018,88.8,0,0,94.8,0,0,0,80.3,0,0,15.1,0,0,0
2023-01-16T05:14:31.916Z,44.702,-110.018,88.8,0,0,119.3,0,0,0,80.3,0,0,45.1,0,0,0
2023-02-15T15:43:35.747Z,44.702,-110.018,88.9,73.3,20,90.2,0,0,0,81.4,3,9.8,87.9,0,0,0
2023-03-18T02:12:39.578Z,44.702,-110.018,89,19.4,7.3,126.6,0,0,0,89,114.6,16.6,6.8,0,0,0
2023-04-17T12:41:43.409Z,44.702,-110.018,89,240.1,55.3,0.9,1.4,0,1.4,88.8,72.4,45.2,1.2,10.8,0,10.8
2023-05-17T23:10:47.241Z,44.702,-110.018,85.8,20.7,51.7,0.8,45.7,1,44.5,88.5,87.5,85.2,0,18.9,0.2,18.7
2023-06-17T09:39:51.072Z,44.702,-110.018,83.6,81.6,101.6,0,47.6,2.9,44.7,78.5,17.5,62.6,0,71.5,6,65
