date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,66,1357,0,0,0,890,0,0,109,1659,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,128,112,66,2606,0,0,0,890,0,0,109,2354,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,807,298,66,2585,0,0,0,890,615,297,109,2497,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,886,3129,478,66,0,52,0,51,890,429,103,109,2700,0,0,0
2020-05-16T23:10:47.241Z,44.702,-110.018,882,681,699,84,0,228,2,227,883,3533,876,114,51,195,3,194
2020-06-16T09:39:51.072Z,44.702,-110.018,816,363,823,130,0,589,22,565,827,221,638,618,0,764,45,718
2020-07-16T20:08:54.903Z,44.702,-110.018,795,7,731,848,0,800,47,755,509,0,456,1765,0,875,255,623
2020-08-16T06:37:58.734Z,44.702,-110.018,653,0,622,1652,0,722,118,605,329,0,99,3065,0,805,448,358
2020-09-15T17:07:02.565Z,44.702,-110.018,846,250,581,0,0,347,20,330,231,0,291,5,0,434,212,222
2020-10-16T03:36:06.397Z,44.702,-110.018,883,182,187,0,211,111,0,110,784,162,631,5,88,101,5,96
2020-11-15T14:05:10.228Z,44.702,-110.018,882,397,48,0,15,41,0,41,886,224,65,5,281,18,0,18
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,0,827,0,0,0,886,0,0,5,1147,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,1289,0,0,0,886,0,0,5,1592,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,0,1534,0,0,0,886,0,0,5,1989,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,261,36,0,1833,0,0,0,888,2217,244,5,467,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,888,2323,221,0,0,124,0,123,841,963,571,5,0,285,13,271
2021-05-17T23:10:47.241Z,44.702,-110.018,778,73,506,203,0,517,52,466,867,1190,1144,5,9,141,0,140
2021-06-17T09:39:51.072Z,44.702,-110.018,771,221,361,745,0,618,100,523,854,682,1006,142,0,497,19,479
2021-07-17T20:08:54.903Z,44.702,-110.018,400,0,348,1978,0,902,375,529,817,152,930,902,0,807,43,763
2021-08-17T06:37:58.734Z,44.702,-110.018,243,0,294,3765,0,875,472,410,589,0,225,2607,0,868,218,653
2021-09-16T17:07:02.565Z,44.702,-110.018,500,0,733,4082,2,391,121,270,357,0,182,3225,0,518,245,274
2021-10-17T03:36:06.397Z,44.702,-110.018,750,0,110,0,86,135,23,114,527,0,423,0,0,144,32,111
2021-11-16T14:05:10.228Z,44.702,-110.018,888,628,340,0,1106,0,0,0,753,0,29,0,475,6,0,6
2021-12-17T00:34:14.059Z,44.702,-110.018,890,0,0,0,1302,0,0,0,796,0,0,0,860,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,1992,0,0,0,800,0,0,0,1362,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,890,213,31,0,2230,0,0,0,851,2,42,0,2676,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,890,215,92,0,2471,0,0,0,890,283,201,0,3356,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,889,2927,388,0,0,112,0,112,890,3771,327,0,105,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,842,326,378,137,0,403,26,376,867,748,373,72,0,284,9,274
2022-06-17T09:39:51.072Z,44.702,-110.018,715,0,527,677,0,744,89,657,651,0,548,288,0,709,111,598
2022-07-17T20:08:54.903Z,44.702,-110.018,392,0,276,2074,0,923,384,540,616,7,351,1584,0,922,222,699
