date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,602,0,0,0,822,0,0,0,890,0,0,0,1332,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,631,0,53,0,1338,0,0,0,890,8,8,0,1876,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,846,1705,232,0,6,9,0,9,890,55,21,0,2762,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,877,730,706,14,0,242,4,238,890,669,177,0,2660,0,0,0
2020-05-16T23:10:47.241Z,44.702,-110.018,847,146,754,361,0,680,15,664,890,3416,556,0,0,28,0,28
2020-06-16T09:39:51.072Z,44.702,-110.018,802,64,467,732,0,721,54,663,811,606,1032,136,73,519,39,482
2020-07-16T20:08:54.903Z,44.702,-110.018,524,0,532,2209,0,954,267,683,765,244,685,1396,0,875,77,797
2020-08-16T06:37:58.734Z,44.702,-110.018,377,0,278,3337,0,783,328,450,429,0,199,2239,0,731,274,460
2020-09-15T17:07:02.565Z,44.702,-110.018,280,0,369,0,0,523,228,293,317,0,146,0,0,408,192,216
2020-10-16T03:36:06.397Z,44.702,-110.018,462,88,438,6,156,124,57,64,322,0,116,19,45,183,104,81
2020-11-15T14:05:10.228Z,44.702,-110.018,890,548,165,6,174,4,0,4,447,0,36,19,586,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,6,807,0,0,0,598,0,3,19,1456,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,465,145,6,1642,0,0,0,607,0,0,19,2102,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,30,30,6,1885,0,0,0,607,0,0,19,2642,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,1988,369,6,430,0,0,0,799,387,48,19,2143,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,872,802,656,133,0,414,6,406,890,3422,825,19,0,51,0,51
2021-05-17T23:10:47.241Z,44.702,-110.018,871,586,1073,230,8,520,7,514,885,1128,1460,83,17,418,1,416
2021-06-17T09:39:51.072Z,44.702,-110.018,854,183,714,636,0,682,13,666,850,521,1007,316,0,625,19,606
2021-07-17T20:08:54.903Z,44.702,-110.018,572,0,371,1830,0,908,235,675,738,0,632,1506,0,904,92,810
2021-08-17T06:37:58.734Z,44.702,-110.018,358,0,167,2857,0,768,350,414,433,0,335,3151,0,854,303,557
2021-09-16T17:07:02.565Z,44.702,-110.018,232,0,121,3194,0,439,262,176,339,0,180,3424,0,428,204,225
2021-10-17T03:36:06.397Z,44.702,-110.018,464,0,301,0,211,112,38,72,630,0,300,0,13,162,33,129
2021-11-16T14:05:10.228Z,44.702,-110.018,692,0,33,0,753,0,0,0,833,0,0,0,1067,14,0,13
2021-12-17T00:34:14.059Z,44.702,-110.018,756,0,0,0,1680,0,0,0,835,0,0,0,1431,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,768,0,20,0,1971,0,0,0,835,0,0,0,2541,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,776,0,0,0,2599,0,0,0,835,0,4,0,2897,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,820,120,105,0,3090,0,0,0,860,0,0,0,3489,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,890,3404,181,54,0,25,0,25,888,3149,278,0,799,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,887,1317,1517,70,0,407,0,405,804,919,360,343,0,611,59,548
2022-06-17T09:39:51.072Z,44.702,-110.018,833,924,1019,445,0,589,31,557,434,0,123,1176,0,800,356,448
2022-07-17T20:08:54.903Z,44.702,-110.018,480,0,397,1883,0,946,302,646,235,0,280,2617,0,935,555,379
2022-08-17T06:37:58.734Z,44.702,-110.018,304,0,163,3063,0,787,417,370,122,0,64,3847,0,789,628,160
2022-09-16T17:07:02.565Z,44.702,-110.018,217,0,216,3480,0,458,252,212,119,0,280,4035,0,400,207,193
2022-10-17T03:36:06.397Z,44.702,-110.018,304,0,120,3,0,178,91,89,579,328,669,0,109,121,46,75
2022-11-16T14:05:10.228Z,44.702,-110.018,322,0,23,3,527,11,0,11,890,280,115,0,729,0,0,0
2022-12-17T00:34:14.059Z,44.702,-110.018,323,0,0,3,1153,0,0,0,890,0,0,0,1258,0,0,0
2023-01-16T05:14:31.916Z,44.702,-110.018,429,0,69,3,1855,0,0,0,890,0,0,0,1382,0,0,0
2023-02-15T15:43:35.747Z,44.702,-110.018,635,0,0,3,2033,0,0,0,890,347,155,0,1433,0,0,0
2023-03-18T02:12:39.578Z,44.702,-110.018,645,0,47,3,2371,0,0,0,890,310,142,0,2438,0,0,0
2023-04-17T12:41:43.409Z,44.702,-110.018,869,2529,306,3,134,0,0,0,883,3373,975,9,0,191,1,188
2023-05-17T23:10:47.241Z,44.702,-110.018,872,1039,1232,7,6,423,3,419,848,589,890,190,0,500,15,484
2023-06-17T09:39:51.072Z,44.702,-110.018,772,94,494,894,0,791,77,712,813,157,838,1201,0,880,45,836
2023-07-17T20:08:54.903Z,44.702,-110.018,421,0,222,2171,0,917,390,529,476,0,259,2866,0,980,361,620
2023-08-17T06:37:58.734Z,44.702,-110.018,204,0,182,3833,0,861,516,343,214,0,148,3917,0,771,464,309
2023-09-16T17:07:02.565Z,44.702,-110.018,135,0,126,4185,4,456,323,134,523,0,813,4032,5,312,89,224
2023-10-17T03:36:06.397Z,44.702,-110.018,272,0,89,0,2,118,57,63,878,373,247,0,134,61,3,58
2023-11-16T14:05:10.228Z,44.702,-110.018,599,0,272,0,850,45,19,27,890,256,27,0,518,4,0,4
2023-12-17T00:34:14.059Z,44.702,-110.018,887,1376,488,0,631,0,0,0,890,0,0,0,1063,0,0,0
2024-01-16T05:14:31.916Z,44.702,-110.018,890,84,38,0,1761,0,0,0,890,156,155,0,1860,0,0,0
2024-02-15T15:43:35.747Z,44.702,-110.018,890,285,150,0,2203,0,0,0,890,58,58,0,2359,0,0,0
2024-03-17T02:12:39.578Z,44.702,-110.018,890,3011,320,0,13,14,0,14,890,620,126,0,2429,0,0,0
2024-04-16T12:41:43.409Z,44.702,-110.018,884,619,659,13,0,223,1,221,888,2866,289,0,0,62,0,62
2024-05-16T23:10:47.241Z,44.702,-110.018,849,648,616,436,0,431,39,390,833,269,482,47,0,404,21,381
2024-06-16T09:39:51.072Z,44.702,-110.018,773,173,967,1081,0,749,47,702,693,0,626,594,0,781,81,700
2024-07-16T20:08:54.903Z,44.702,-110.018,515,0,409,2868,0,999,263,741,725,0,790,1981,0,929,95,834
