date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,38,1413,0,0,0,500,0,0,1,2253,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,38,1591,0,0,0,500,0,0,1,2700,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,220,100,38,1828,0,0,0,593,0,154,1,2854,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,890,1265,105,38,1111,0,0,0,886,3164,300,1,0,62,1,61
2020-05-16T23:10:47.241Z,44.702,-110.018,872,1861,815,127,0,368,10,356,856,141,496,1,0,353,7,346
2020-06-16T09:39:51.072Z,44.702,-110.018,711,0,370,811,0,794,140,655,761,9,501,469,0,774,52,722
2020-07-16T20:08:54.903Z,44.702,-110.018,350,0,242,2372,0,953,456,497,475,0,331,1170,0,832,278,555
2020-08-16T06:37:58.734Z,44.702,-110.018,179,0,269,3537,0,773,518,254,470,0,461,2277,0,777,233,548
2020-09-15T17:07:02.565Z,44.702,-110.018,228,0,474,0,3,375,216,160,278,0,52,11,0,468,284,183
2020-10-16T03:36:06.397Z,44.702,-110.018,557,0,79,0,0,136,38,96,251,0,172,35,286,130,90,36
2020-11-15T14:05:10.228Z,44.702,-110.018,626,0,73,0,192,7,1,6,876,140,139,35,866,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,856,243,116,0,294,2,0,2,890,9,9,35,1723,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,934,0,0,0,890,0,0,35,2066,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,0,1278,0,0,0,890,0,0,35,2542,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,1339,231,0,520,0,0,0,890,190,9,35,2682,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,887,1068,157,0,0,72,0,71,890,1296,320,35,1917,0,0,0
2021-05-17T23:10:47.241Z,44.702,-110.018,877,1212,1320,37,0,275,3,272,870,2275,578,56,0,341,10,330
2021-06-17T09:39:51.072Z,44.702,-110.018,854,863,1252,252,0,601,16,584,827,162,714,420,0,714,33,678
2021-07-17T20:08:54.903Z,44.702,-110.018,572,0,377,1413,0,897,223,676,547,0,432,1413,0,867,204,660
2021-08-17T06:37:58.734Z,44.702,-110.018,322,0,195,2397,0,769,377,393,320,0,194,2480,0,781,377,404
2021-09-16T17:07:02.565Z,44.702,-110.018,311,0,527,2552,4,416,238,175,394,0,668,2901,0,447,226,220
2021-10-17T03:36:06.397Z,44.702,-110.018,616,0,90,0,18,119,27,91,846,207,400,0,682,100,8,93
