date,lat,lon,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,31.942809,-113.020708,17.3,0,6.7,0,45.5,23.7,21.9,17.5,0,42.1,840.4,0,48.6,23.3,25.7
2020-02-15T15:43:35.747Z,31.942809,-113.020708,7.6,0,7.9,0,57.3,40.6,17,14.6,0,13.7,915,0,51.9,30.5,21.6
2020-03-17T02:12:39.578Z,31.942809,-113.020708,1.5,0,3.6,0,89.2,81.8,7,3.2,0,0,1176.4,0,95.1,87.2,8.1
2020-04-16T12:41:43.409Z,31.942809,-113.020708,0.1,0,1.4,0,128.1,126.1,1.4,1,0,8.3,1568.2,0,129.8,121.4,8.7
2020-05-16T23:10:47.241Z,31.942809,-113.020708,0,0,3.4,0,159.7,156.3,3.4,0,0,2.1,1979,0,147.7,145.2,2.1
2020-06-16T09:39:51.072Z,31.942809,-113.020708,2.8,0,28.7,0,186.8,162.6,24.2,0,0,6.9,2616.7,0,188.6,181.6,6.9
2020-07-16T20:08:54.903Z,31.942809,-113.020708,1,0,12.5,0,205.4,189.2,16.1,0,0,4.7,-3276.7,0,209.9,205.2,4.7
2020-08-16T06:37:58.734Z,31.942809,-113.020708,3,0,31.6,0,183.4,151.8,31.9,5.5,0,72,-3276.7,0,184.1,136.9,47.1
2020-09-15T17:07:02.565Z,31.942809,-113.020708,0.1,0,5.4,0,145.7,140,5.6,5.9,0,3.9,21.1,0,149.2,121,28.5
2020-10-16T03:36:06.397Z,31.942809,-113.020708,0.5,0,14.6,0,102.3,96.8,5.5,3.5,0,14.9,486.1,0,103,88.8,14.3
2020-11-15T14:05:10.228Z,31.942809,-113.020708,8,0,19.8,0,60.5,39.4,21.1,0.5,0,0.3,723.6,0,60.7,59.5,0.9
2020-12-16T00:34:14.059Z,31.942809,-113.020708,4.8,0,9.8,0,41.9,34.9,6.7,0.1,0,0.5,825,0,44.3,43.6,0.5
2021-01-16T05:14:31.916Z,31.942809,-113.020708,11,0,10,0,44.6,30.4,14.7,0,0,0,981.6,0,53,53,0
2021-02-15T15:43:35.747Z,31.942809,-113.020708,3.1,0,0,0,63.8,58.6,5,0.1,0,2.9,1097.9,0,56,53.1,2.6
2021-03-18T02:12:39.578Z,31.942809,-113.020708,0.4,0,0,0,95.6,94.5,0.9,0,0,2.4,1307.5,0,88.1,85.7,2.4
2021-04-17T12:41:43.409Z,31.942809,-113.020708,0.6,0,8.8,0,122.6,114.7,7.9,0,0,4.4,1615.8,0,116.6,112.2,4.4
2021-05-17T23:10:47.241Z,31.942809,-113.020708,0.1,0,4.9,0,156.8,150.6,5.6,0,0,5.1,2105.8,0,160.7,155.4,5.1
2021-06-17T09:39:51.072Z,31.942809,-113.020708,0,0,1.4,0,182.2,180.8,1.4,0,0,2.5,2688,0,179.3,176.8,2.5
2021-07-17T20:08:54.903Z,31.942809,-113.020708,0,0,4.7,0,203.9,199.2,4.7,0.1,0,21.4,-3276.7,0,198,178.4,19.8
2021-08-17T06:37:58.734Z,31.942809,-113.020708,2.7,0,30.6,0,187.2,157.3,29.7,3.1,0,36.2,-3276.7,0,187.9,150.5,37.6
